iter	Passed	Remaining
441	1142	1442
442	1144	1438
443	1145	1434
444	1147	1430
445	1148	1426
446	1149	1421
447	1150	1417
448	1151	1413
449	1152	1408
450	1154	1404
451	1156	1402
452	1157	1397
453	1158	1393
454	1160	1389
455	1161	1385
456	1162	1381
457	1163	1377
458	1164	1372
459	1165	1368
460	1167	1364
461	1168	1360
462	1170	1357
463	1171	1353
464	1173	1349
465	1174	1345
466	1175	1341
467	1176	1337
468	1177	1333
469	1178	1329
470	1179	1325
471	1181	1321
472	1182	1317
473	1183	1313
474	1184	1309
475	1186	1306
476	1187	1302
477	1189	1298
478	1190	1294
479	1191	1290
480	1192	1286
481	1193	1282
482	1194	1278
483	1195	1274
484	1196	1270
485	1198	1267
486	1200	1264
487	1201	1261
488	1203	1257
489	1204	1253
490	1205	1249
491	1206	1245
492	1207	1242
493	1208	1238
494	1209	1234
495	1211	1230
496	1212	1226
497	1213	1222
498	1215	1220
499	1217	1217
500	1218	1213
501	1219	1209
502	1220	1206
503	1221	1202
504	1222	1198
505	1223	1194
506	1225	1191
507	1226	1187
508	1227	1183
509	1228	1180
510	1230	1177
511	1232	1174
512	1234	1171
513	1235	1168
514	1237	1165
515	1238	1161
516	1239	1158
517	1240	1154
518	1242	1151
519	1243	1147
520	1244	1144
521	1247	1141
522	1248	1138
523	1249	1134
524	1250	1131
525	1251	1127
526	1252	1124
527	1253	1120
528	1254	1117
529	1256	1113
530	1257	1110
531	1258	1106
532	1259	1103
533	1262	1101
534	1263	1098
535	1264	1094
536	1266	1091
537	1267	1088
538	1268	1084
539	1269	1081
540	1270	1078
541	1272	1074
542	1273	1071
543	1274	1068
544	1276	1065
545	1278	1062
546	1279	1059
547	1280	1056
548	1281	1053
549	1283	1049
550	1284	1046
551	1285	1043
552	1287	1040
553	1288	1037
554	1290	1034
555	1293	1033
556	1295	1030
557	1296	1027
558	1298	1024
559	1299	1020
560	1300	1017
561	1301	1014
562	1302	1011
563	1304	1008
564	1305	1005
565	1307	1002
566	1309	999
567	1310	996
568	1311	993
569	1312	990
570	1315	988
571	1316	984
572	1317	981
573	1319	978
574	1320	975
575	1323	974
576	1324	971
577	1326	968
578	1327	965
579	1329	962
580	1330	959
581	1331	956
582	1333	953
583	1334	950
584	1335	947
585	1337	945
586	1338	942
587	1339	938
588	1341	935
589	1342	932
590	1343	929
591	1345	927
592	1346	924
593	1347	921
594	1348	918
595	1350	915
596	1352	912
597	1353	909
598	1354	906
599	1355	903
600	1357	901
601	1358	898
602	1359	895
603	1361	892
604	1362	889
605	1363	886
606	1364	883
607	1365	880
608	1368	878
609	1370	875
610	1371	873
611	1372	870
612	1373	867
613	1374	864
614	1376	861
615	1377	858
616	1378	855
617	1379	852
618	1381	850
619	1384	848
620	1385	845
621	1386	842
622	1388	839
623	1389	837
624	1390	834
625	1391	831
626	1392	828
627	1394	825
628	1395	823
629	1396	820
630	1399	818
631	1400	815
632	1401	812
633	1402	809
634	1403	806
635	1404	804
636	1405	801
637	1407	798
638	1408	795
639	1410	793
640	1411	790
641	1414	788
642	1415	786
643	1417	783
644	1418	780
645	1419	777
646	1420	775
647	1422	772
648	1423	769
649	1424	767
650	1426	764
651	1429	762
652	1430	760
653	1432	757
654	1433	755
655	1435	752
656	1437	750
657	1438	747
658	1440	745
659	1441	742
660	1444	740
661	1445	737
662	1446	735
663	1448	732
664	1449	730
665	1450	727
666	1451	724
667	1452	722
668	1454	719
669	1455	716
670	1457	714
671	1460	712
672	1461	710
673	1462	707
674	1463	704
675	1465	702
676	1466	699
677	1467	697
678	1469	694
679	1470	691
680	1471	689
681	1474	687
682	1475	685
683	1477	682
684	1478	679
685	1479	677
686	1481	674
687	1482	672
688	1484	669
689	1485	667
690	1486	664
691	1487	662
692	1490	660
693	1491	657
694	1492	655
695	1494	652
696	1495	650
697	1496	647
698	1498	645
699	1499	642
700	1500	640
701	1502	637
702	1504	635
703	1506	633
704	1507	630
705	1509	628
706	1511	626
707	1512	623
708	1513	621
709	1515	618
710	1516	616
711	1517	613
712	1520	612
713	1522	609
714	1523	607
715	1525	604
716	1526	602
717	1528	600
718	1529	597
719	1530	595
720	1532	592
721	1533	590
722	1535	588
723	1537	585
724	1538	583
725	1539	581
726	1540	578
727	1542	576
728	1543	573
729	1544	571
730	1545	568
731	1547	566
732	1548	563
733	1551	562
734	1552	559
735	1553	557
736	1554	554
737	1556	552
738	1557	549
739	1558	547
740	1559	545
741	1560	542
742	1561	540
743	1562	537
744	1564	535
745	1565	533
746	1567	530
747	1568	528
748	1569	525
749	1570	523
750	1571	521
751	1572	518
752	1574	516
753	1575	513
754	1576	511
755	1577	509
756	1580	507
757	1581	504
758	1582	502
759	1583	500
760	1584	497
761	1585	495
762	1586	492
763	1587	490
764	1588	488
765	1590	485
766	1591	483
767	1592	480
768	1593	478
769	1595	476
770	1596	474
771	1598	471
772	1599	469
773	1600	467
774	1601	464
775	1602	462
776	1603	460
777	1604	457
778	1605	455
779	1607	453
780	1608	451
781	1610	449
782	1612	446
783	1613	444
784	1614	442
785	1616	440
786	1617	437
787	1618	435
788	1619	433
789	1620	430
790	1621	428
791	1623	426
792	1625	424
793	1627	422
794	1628	419
795	1629	417
796	1631	415
797	1632	413
798	1633	410
799	1634	408
800	1635	406
801	1636	404
802	1637	401
803	1640	399
804	1641	397
805	1643	395
806	1644	393
807	1645	390
808	1646	388
809	1647	386
810	1648	384
811	1649	381
812	1651	379
813	1652	377
814	1653	375
815	1656	373
816	1657	371
817	1658	369
818	1659	366
819	1661	364
820	1662	362
821	1663	360
822	1664	357
823	1665	355
824	1666	353
825	1667	351
826	1670	349
827	1672	347
828	1673	345
829	1674	342
830	1675	340
831	1676	338
832	1678	336
833	1680	334
834	1681	332
835	1682	330
836	1686	328
837	1689	326
838	1690	324
839	1692	322
840	1694	320
841	1695	318
842	1697	316
843	1699	314
844	1701	312
845	1703	310
846	1705	308
847	1707	306
848	1709	303
849	1710	301
850	1712	299
851	1715	297
852	1717	295
853	1718	293
854	1720	291
855	1721	289
856	1723	287
857	1724	285
858	1725	283
859	1727	281
860	1728	279
861	1732	277
862	1734	275
863	1735	273
864	1737	271
865	1738	269
866	1740	266
867	1741	264
868	1742	262
869	1743	260
870	1746	258
871	1748	256
872	1750	254
873	1752	252
874	1753	250
875	1754	248
876	1755	246
877	1756	244
878	1758	242
879	1761	240
880	1763	238
881	1765	236
882	1766	234
883	1768	232
884	1769	229
885	1770	227
886	1771	225
887	1772	223
888	1773	221
889	1777	219
890	1779	217
891	1781	215
892	1783	213
893	1785	211
894	1787	209
895	1789	207
896	1793	205
897	1795	203
898	1796	201
899	1798	199
900	1799	197
901	1801	195
902	1802	193
903	1804	191
904	1807	189
905	1809	187
906	1810	185
907	1812	183
908	1814	181
909	1815	179
910	1816	177
911	1818	175
912	1820	173
913	1822	171
914	1824	169
915	1825	167
916	1826	165
917	1828	163
918	1829	161
919	1831	159
920	1832	157
921	1833	155
922	1836	153
923	1838	151
924	1840	149
925	1842	147
926	1843	145
927	1844	143
928	1846	141
929	1847	139
930	1849	137
931	1852	135
932	1853	133
933	1855	131
934	1857	129
935	1858	127
936	1859	125
937	1860	123
938	1862	120
939	1863	118
940	1866	117
941	1868	115
942	1869	112
943	1870	110
944	1872	108
945	1873	106
946	1874	104
947	1876	102
948	1877	100
949	1878	98
950	1879	96
951	1883	94
952	1884	92
953	1885	90
954	1886	88
955	1888	86
956	1889	84
957	1891	82
958	1892	80
959	1894	78
960	1895	76
961	1897	74
962	1899	73
963	1901	71
964	1903	69
965	1904	67
966	1906	65
967	1907	63
968	1909	61
969	1911	59
970	1913	57
971	1915	55
972	1916	53
973	1918	51
974	1920	49
975	1921	47
976	1922	45
977	1923	43
978	1925	41
979	1928	39
980	1930	37
981	1932	35
982	1934	33
983	1935	31
984	1937	29
985	1938	27
986	1940	25
987	1942	23
988	1945	21
989	1946	19
990	1948	17
991	1949	15
992	1950	13
993	1952	11
994	1953	9
995	1955	7
996	1958	5
997	1959	3
998	1961	1
999	1963	0
